Model and Parameters - Scores
--------------------------------------------------
Confusion Matrix:
[[15909    88]
 [   71 13640]]
--------------------------------------------------
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.995, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.995, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.994, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.994, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.994, Std Dev: 0.001
