Model and Parameters - Scores
--------------------------------------------------
Confusion Matrix:
[[15864   133]
 [   89 13622]]
--------------------------------------------------
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.990, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.991, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.991, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.991, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.991, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.992, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.992, Std Dev: 0.000
