Model and Parameters - Scores
--------------------------------------------------
Confusion Matrix:
[[15997     0]
 [  849 12862]]
--------------------------------------------------
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.944, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.949, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.955, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.968, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.968, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.968, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.969, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.969, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.969, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.962, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.963, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.964, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.969, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.969, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.969, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.970, Std Dev: 0.000
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.970, Std Dev: 0.000
