Model and Parameters - Scores
--------------------------------------------------
Confusion Matrix:
[[14097  1900]
 [ 8986  4725]]
--------------------------------------------------
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.595, Std Dev: 0.016
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.599, Std Dev: 0.013
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.602, Std Dev: 0.010
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.602, Std Dev: 0.010
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.602, Std Dev: 0.010
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.603, Std Dev: 0.009
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.606, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.606, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.606, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.627, Std Dev: 0.012
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.619, Std Dev: 0.007
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.619, Std Dev: 0.007
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.619, Std Dev: 0.007
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.618, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.618, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.619, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.618, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.618, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.618, Std Dev: 0.006
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}, Mean Score: 0.611, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}, Mean Score: 0.612, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20}, Mean Score: 0.614, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2}, Mean Score: 0.609, Std Dev: 0.004
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 10}, Mean Score: 0.609, Std Dev: 0.004
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 20}, Mean Score: 0.610, Std Dev: 0.002
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 2}, Mean Score: 0.611, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 10}, Mean Score: 0.611, Std Dev: 0.001
Model: DecisionTreeClassifier, Params: {'classifier': DecisionTreeClassifier(random_state=31011997), 'classifier__max_depth': 30, 'classifier__min_samples_leaf': 10, 'classifier__min_samples_split': 20}, Mean Score: 0.611, Std Dev: 0.001
